,eng,part,mean
16722,primitive,noun,"An original or primary word; a word not derived from another, as opposed to derivative."
16723,primo,noun,The principal part of a duet.
16724,primordial,noun,A first principle or element.
16725,primping,verb,"To spend time improving one's appearance, often in front of a mirror."
16726,prince,noun,"A (male) ruler, a sovereign; a king, monarch."
16727,princely,adjective,Relating to a prince; regal; royal.
16728,princes,noun,"A (male) ruler, a sovereign; a king, monarch."
16729,princess,noun,"A female member of a royal family other than a queen, especially a daughter or granddaughter."
16730,princesses,noun,"A female member of a royal family other than a queen, especially a daughter or granddaughter."
16731,principal,noun,"The money originally invested or loaned, on which basis interest and returns are calculated."
16732,principals,noun,"The money originally invested or loaned, on which basis interest and returns are calculated."
16733,principle,noun,A fundamental assumption or guiding belief.
16734,principles,noun,A fundamental assumption or guiding belief.
16735,print,noun,"Books and other material created by printing presses, considered collectively or as a medium."
16736,printed,verb,"To produce one or more copies of a text or image on a surface, especially by machine; often used with out or off: print out, print off."
16737,printer,noun,One who makes prints.
16738,printers,noun,One who makes prints.
16739,printing,verb,"To produce one or more copies of a text or image on a surface, especially by machine; often used with out or off: print out, print off."
16740,prints,noun,"Books and other material created by printing presses, considered collectively or as a medium."
16741,prior,noun,"A high-ranking member of a monastery, usually lower in rank than an abbot."
16742,priorities,noun,An item's relative importance.
16743,prioritize,verb,To arrange or list a group of things in order of priority or importance.
16744,prioritizing,verb,To arrange or list a group of things in order of priority or importance.
16745,priority,noun,An item's relative importance.
16746,priors,noun,"A high-ranking member of a monastery, usually lower in rank than an abbot."
16747,prison,noun,"A place or institution of confinement, especially of long-term confinement for those convicted of serious crimes or otherwise considered undesirable by the government."
16748,prisoner,noun,"A person incarcerated in a prison, while on trial or serving a sentence."
16749,prisoners,noun,"A person incarcerated in a prison, while on trial or serving a sentence."
16750,prisons,noun,"A place or institution of confinement, especially of long-term confinement for those convicted of serious crimes or otherwise considered undesirable by the government."
16751,prissy,noun,"A person who is excessively prim, proper, particular or fussy."
16752,privacy,noun,"The state of being secluded from the presence, sight, or knowledge of others."
16753,private,noun,A soldier of the lowest rank in the army.
16754,privately,adverb,In a private manner.
16755,privilege,noun,(ecclesiastical law) An exemption from certain laws granted by the Pope.
16756,privileged,verb,To grant some particular right or exemption to; to invest with a peculiar right or immunity; to authorize
16757,privileges,noun,(ecclesiastical law) An exemption from certain laws granted by the Pope.
16758,privy,noun,"An outdoor facility for urination and defecation, whether open (latrine) or enclosed (outhouse)."
16759,prize,noun,"That which is taken from another; something captured; a thing seized by force, stratagem, or superior power."
16760,prized,verb,To consider highly valuable; to esteem.
16761,prizes,noun,The cost required to gain possession of something.
16762,pro,noun,"An advantage of something, especially when contrasted with its disadvantages (cons)."
16763,proactive,adjective,Acting in advance to deal with an expected change or difficulty
16764,probability,noun,The state of being probable; likelihood.
16765,probable,noun,Something that is likely.
16766,probably,adverb,In all likelihood.
16767,probate,noun,The legal process of verifying the legality of a will.
16768,probation,noun,A period of time when a person occupies a position only conditionally and may easily be removed for poor performance
16769,probationary,noun,An employee who is still in their probationary period.
16770,probe,noun,"Any of various medical instruments used to explore wounds, organs, etc."
16771,probes,noun,"Any of various medical instruments used to explore wounds, organs, etc."
16772,problem,noun,A difficulty that has to be resolved or dealt with.
16773,problematic,noun,(chiefly in the plural) A problem or difficulty in a particular field of study.
16774,problems,noun,A difficulty that has to be resolved or dealt with.
16775,procedural,noun,"A type of literature, film, or television program involving a sequence of technical detail."
16776,procedure,noun,A particular method for performing a task.
16777,procedures,noun,A particular method for performing a task.
16778,proceed,verb,"To move, pass, or go forward or onward; to advance; to carry on"
16779,proceeded,verb,"To move, pass, or go forward or onward; to advance; to carry on"
16780,proceeding,verb,"To move, pass, or go forward or onward; to advance; to carry on"
16781,proceedings,noun,"The act of one who proceeds, or who prosecutes a design or transaction"
16782,proceeds,verb,"To move, pass, or go forward or onward; to advance; to carry on"
16783,process,noun,A series of events which produce a result (the product).
16784,processed,verb,To perform a particular process on a thing.
16785,processes,noun,A series of events which produce a result (the product).
16786,processing,verb,To perform a particular process on a thing.
16787,procession,noun,The act of progressing or proceeding.
16788,processional,noun,A hymn or other music used during a procession; prosodion.
16789,processors,noun,"A person or institution who processes things (foods, photos, applications, etc.)."
16790,proclaimed,verb,To announce or declare.
16791,proclivities,noun,"A predisposition or natural inclination, propensity, or a predilection; especially, a strong disposition or bent."
16792,procrastinate,verb,To delay taking action; to wait until later.
16793,procrastinating,verb,To delay taking action; to wait until later.
16794,procrastination,noun,"The act of postponing, delaying or putting off, especially habitually or intentionally."
16795,procreate,verb,To beget or conceive (offspring).
16796,procure,verb,To acquire or obtain.
16797,procured,verb,To acquire or obtain.
16798,prod,noun,A device (now often electrical) used to goad livestock into moving.
16799,prodded,verb,"To poke, to push, to touch."
16800,prodding,verb,"To poke, to push, to touch."
16801,prodigal,noun,"A prodigal person, a spendthrift."
16802,produce,verb,"To yield, make or manufacture; to generate."
16803,produced,verb,"To yield, make or manufacture; to generate."
16804,producer,noun,An individual or organization that creates goods and services.
16805,producers,noun,An individual or organization that creates goods and services.
16806,produces,verb,"To yield, make or manufacture; to generate."
16807,producing,verb,"To yield, make or manufacture; to generate."
16808,product,noun,A commodity offered for sale.
16809,production,noun,"The act of producing, making or creating something."
16810,productions,noun,"The act of producing, making or creating something."
16811,productive,adjective,"Capable of producing something, especially in abundance; fertile."
16812,productivity,noun,"The state of being productive, fertile or efficient"
16813,products,noun,A commodity offered for sale.
16814,prof,noun,"The most senior rank for an academic at a university or similar institution, informally also known as ""full professor."" Abbreviated Prof."
16815,profanity,noun,"The quality of being profane; quality of irreverence, of treating sacred things with contempt."
16816,profess,verb,To administer the vows of a religious order to (someone); to admit to a religious order. (Chiefly in passive.)
16817,professed,verb,To administer the vows of a religious order to (someone); to admit to a religious order. (Chiefly in passive.)
16818,profession,noun,"A declaration of belief, faith or one's opinion, whether genuine or pretended."
16819,professional,noun,A person who belongs to a profession
16820,professionalism,noun,"The status, methods, character or standards expected of a professional or of a professional organization, such as reliability, discretion, evenhandedness, and fair play."
16821,professionally,adverb,As a professional; for one's paid career.
16822,professionals,noun,A person who belongs to a profession
16823,professor,noun,"The most senior rank for an academic at a university or similar institution, informally also known as ""full professor."" Abbreviated Prof."
16824,professors,noun,"The most senior rank for an academic at a university or similar institution, informally also known as ""full professor."" Abbreviated Prof."
16825,profile,noun,"The outermost shape, view, or edge of an object."
16826,profiles,noun,"The outermost shape, view, or edge of an object."
16827,profiling,verb,"To create a summary or collection of information about (a person, etc.)."
16828,profit,noun,Total income or cash flow minus expenditures. The money or other benefit a non-governmental organization or individual receives in exchange for products and services sold at an advertised price.
16829,profitable,adjective,Producing a profit.
16830,profits,noun,Total income or cash flow minus expenditures. The money or other benefit a non-governmental organization or individual receives in exchange for products and services sold at an advertised price.
16831,profound,noun,The deep; the sea; the ocean.
16832,profoundly,adverb,"(manner) With depth, meaningfully."
16833,profusely,adverb,In great quantity or abundance; in a profuse manner.
16834,progeny,noun,Offspring or descendants considered as a group.
16835,prognosis,noun,"A forecast of the future course of a disease or disorder, based on medical knowledge."
16836,program,noun,A set of structured activities.
16837,programme,noun,A set of structured activities.
16838,programmed,verb,To enter a program or other instructions into (a computer or other electronic device) to instruct it to do a particular task.
16839,programmer,noun,One who writes computer programs; a software developer.
16840,programming,verb,To enter a program or other instructions into (a computer or other electronic device) to instruct it to do a particular task.
16841,programs,noun,A set of structured activities.
16842,progress,noun,"Movement or advancement through a series of events, or points in time; development through time."
16843,progressed,verb,"To move, go, or proceed forward; to advance."
16844,progresses,verb,"To move, go, or proceed forward; to advance."
16845,progressing,verb,"To move, go, or proceed forward; to advance."
16846,progression,noun,The act of moving from one thing to another.
16847,progressive,noun,"A person who actively favors or strives for progress towards improved conditions, as in society or government."
16848,prohibit,verb,"To forbid, disallow, or proscribe officially; to make illegal or illicit."
16849,prohibited,verb,"To forbid, disallow, or proscribe officially; to make illegal or illicit."
16850,prohibition,noun,"An act of prohibiting, forbidding, disallowing, or proscribing something."
16851,prohibits,verb,"To forbid, disallow, or proscribe officially; to make illegal or illicit."
16852,project,noun,"A planned endeavor, usually with a specific goal and accomplished in several steps or stages."
16853,projected,verb,To extend beyond a surface.
16854,projectile,noun,An object intended to be or having been fired from a weapon.
16855,projecting,verb,To extend beyond a surface.
16856,projection,noun,"Something which projects, protrudes, juts out, sticks out, or stands out."
16857,projections,noun,"Something which projects, protrudes, juts out, sticks out, or stands out."
16858,projector,noun,Someone who devises or suggests a project; a proposer or planner of something.
16859,projects,noun,"A planned endeavor, usually with a specific goal and accomplished in several steps or stages."
16860,proliferation,noun,"The process by which an organism produces others of its kind; breeding, propagation, procreation, reproduction."
16861,prolong,verb,To extend in space or length.
16862,prolonged,verb,To extend in space or length.
16863,prom,noun,A promenade concert
16864,promenade,noun,A prom (dance).
16865,prominent,adjective,"Standing out, or projecting; jutting; protuberant"
16866,promiscuous,adjective,Made up of various disparate elements mixed together; of disorderly composition.
16867,promise,noun,An oath or affirmation; a vow
16868,promised,verb,"To commit to (some action or outcome), or to assure (a person) of such commitment; to make an oath or vow."
16869,promises,noun,An oath or affirmation; a vow
16870,promising,verb,"To commit to (some action or outcome), or to assure (a person) of such commitment; to make an oath or vow."
16871,promo,noun,An interview or monologue intended to promote a character or an upcoming match.
16872,promote,verb,"To raise (someone) to a more important, responsible, or remunerative job or rank."
16873,promoted,verb,"To raise (someone) to a more important, responsible, or remunerative job or rank."
16874,promotes,verb,"To raise (someone) to a more important, responsible, or remunerative job or rank."
16875,promoting,verb,"To raise (someone) to a more important, responsible, or remunerative job or rank."
16876,promotion,noun,An advancement in rank or position.
16877,promotions,noun,An advancement in rank or position.
16878,prompt,noun,A reminder or cue.
16879,prompter,noun,The person who does the prompting.
16880,prompting,verb,To lead (someone) toward what they should say or do.
16881,promptly,adverb,In prompt manner; both soon and quickly.
16882,proms,noun,A promenade concert
16883,prone,adjective,Lying face downward.
16884,pronounce,verb,"To declare formally, officially or ceremoniously."
16885,pronounced,verb,"To declare formally, officially or ceremoniously."
16886,pronouns,noun,"(grammar) A type of noun that refers anaphorically to another noun or noun phrase, but which cannot ordinarily be preceded by a determiner and rarely takes an attributive adjective. English examples include I, you, him, who, me, my, each other."
16887,pronto,adverb,"Quickly, very soon, promptly."
16888,pronunciation,noun,The formal or informal way in which a word is made to sound when spoken.
16889,proof,noun,"An effort, process, or operation designed to establish or discover a fact or truth; an act of testing; a test; a trial."
16890,proofed,verb,To proofread.
16891,proofing,verb,To proofread.
16892,proofs,noun,"An effort, process, or operation designed to establish or discover a fact or truth; an act of testing; a test; a trial."
16893,prop,noun,"An object placed against or under another, to support it; anything that supports."
16894,propaganda,noun,A concerted set of messages aimed at influencing the opinions or behavior of large numbers of people.
16895,propane,noun,"An aliphatic hydrocarbon, C3H8, a constituent of natural gas."
16896,propelled,verb,"To provide an impetus for motion or physical action, to cause to move in a certain direction; to drive forward."
16897,propellers,noun,"One who, or that which, propels."
16898,propensity,noun,"An inclination, disposition, tendency, preference, or attraction."
16899,proper,noun,Something set apart for a special use.
16900,properly,adverb,"In a proper manner, appropriately, suitably; correctly, justifiably"
16901,properties,noun,Something that is owned.
16902,property,noun,Something that is owned.
16903,prophecies,noun,"A prediction, especially one made by a prophet or under divine inspiration."
16904,prophecy,noun,"A prediction, especially one made by a prophet or under divine inspiration."
16905,prophesied,verb,To speak or write with divine inspiration; to act as prophet.
16906,prophet,noun,Someone who speaks by divine inspiration.
16907,prophets,noun,Someone who speaks by divine inspiration.
16908,prophylactic,noun,A medicine which preserves or defends against disease; a preventive.
16909,proportion,noun,A quantity of something that is part of the whole amount or number.
16910,proportional,noun,A proportion.
16911,proportioned,verb,To divide into proper shares; to apportion.
16912,proportions,noun,A quantity of something that is part of the whole amount or number.
16913,proposal,noun,"Something which is proposed, or offered for consideration or acceptance"
16914,proposals,noun,"Something which is proposed, or offered for consideration or acceptance"
16915,propose,noun,An objective or aim.
16916,proposed,verb,"To suggest a plan, course of action, etc."
16917,proposes,verb,"To suggest a plan, course of action, etc."
16918,proposing,verb,"To suggest a plan, course of action, etc."
16919,proposition,noun,The act of offering (an idea) for consideration.
16920,propositioning,verb,To make a suggestion of sexual intercourse to (someone with whom one is not sexually involved).
16921,propped,verb,(sometimes figurative) To support or shore up something.
16922,propping,verb,(sometimes figurative) To support or shore up something.
16923,proprietary,noun,A proprietor or owner.
16924,proprietor,noun,An owner.
16925,propriety,noun,The particular character or essence of someone or something; individuality.
16926,props,noun,"An object placed against or under another, to support it; anything that supports."
16927,propulsion,noun,"The action of driving or pushing, typically forward or onward; a propulsive force or impulse."
16928,pros,noun,"An advantage of something, especially when contrasted with its disadvantages (cons)."
16929,prosciutto,noun,"A dry-cured ham from Italy, thinly sliced."
16930,prose,noun,"Language, particularly written language, not intended as poetry."
16931,prosecute,verb,To start criminal proceedings against.
16932,prosecuted,verb,To start criminal proceedings against.
16933,prosecuting,verb,To start criminal proceedings against.
16934,prosecution,noun,The act of prosecuting a scheme or endeavor.
16935,prosecutor,noun,A prosecuting attorney.
16936,prosecutorial,adjective,Relating to prosecuting of criminal cases.
16937,prosecutors,noun,A prosecuting attorney.
16938,prospect,noun,The region which the eye overlooks at one time; view; scene; outlook.
16939,prospective,noun,"The scene before or around, in time or in space; view; prospect."
16940,prospector,noun,"A person who explores or prospects an area in search of mineral deposits, such as gold."
16941,prospects,noun,The region which the eye overlooks at one time; view; scene; outlook.
16942,prosper,verb,To favor; to render successful.
16943,prosperity,noun,"The condition of being prosperous, of having good fortune"
16944,prostate,noun,The prostate gland.
16945,prosthetic,noun,"An artificial replacement for part of the body; a prosthesis, prosthetic device."
16946,prostitute,noun,"Any person (especially a woman) who has sexual intercourse or engages in other sexual activity for payment, especially as a means of livelihood."
16947,prostitutes,noun,"Any person (especially a woman) who has sexual intercourse or engages in other sexual activity for payment, especially as a means of livelihood."
16948,prostitution,noun,Engaging in sexual activity with another person for pay.
16949,protect,verb,To keep safe; to defend; to guard; to prevent harm coming to.
16950,protected,verb,To keep safe; to defend; to guard; to prevent harm coming to.
16951,protecting,verb,To keep safe; to defend; to guard; to prevent harm coming to.
16952,protection,noun,The process of keeping (something or someone) safe.
16953,protections,noun,The process of keeping (something or someone) safe.
16954,protective,noun,Something that protects.
16955,protector,noun,"Someone who protects or guards, by assignment or on their own initiative."
16956,protectors,noun,"Someone who protects or guards, by assignment or on their own initiative."
16957,protects,verb,To keep safe; to defend; to guard; to prevent harm coming to.
16958,protein,noun,"Any of numerous large, complex naturally-produced molecules composed of one or more long chains of amino acids, in which the amino acid groups are held together by peptide bonds."
16959,protest,noun,"A formal objection, especially one by a group."
16960,protestant,noun,A member of any of several Christian denominations which separated from the Roman Catholic Church based on theological or political differences during the Reformation (or sometimes later).
16961,protestants,noun,A member of any of several Christian denominations which separated from the Roman Catholic Church based on theological or political differences during the Reformation (or sometimes later).
16962,protested,verb,To make a strong objection.
16963,protesters,noun,"One who protests, either singly or in a public display of group feeling."
16964,protesting,verb,To make a strong objection.
16965,protestors,noun,"One who protests, either singly or in a public display of group feeling."
16966,protests,noun,"A formal objection, especially one by a group."
16967,proteus,noun,"Any of many gram-negative bacteria, of the genus Proteus, several of which are responsible for human infections."
16968,protocol,noun,"The minutes, or official record, of a negotiation or transaction; especially a document drawn up officially which forms the legal basis for subsequent agreements based on it."
16969,protocols,noun,"The minutes, or official record, of a negotiation or transaction; especially a document drawn up officially which forms the legal basis for subsequent agreements based on it."
16970,protons,noun,"A positively charged subatomic particle forming part of the nucleus of an atom and determining the atomic number of an element, composed of two up quarks and a down quark."
16971,prototype,noun,"An original form or object which is a basis for other forms or objects (particularly manufactured items), or for its generalizations and models."
16972,prototypes,noun,"An original form or object which is a basis for other forms or objects (particularly manufactured items), or for its generalizations and models."
16973,protracted,verb,"To draw out; to extend, especially in duration."
16974,protruding,verb,"To extend from, above or beyond a surface or boundary; to bulge outward; to stick out."
16975,proud,adjective,Feeling honoured (by something); feeling happy or satisfied about an event or fact; gratified.
16976,prouder,adjective,Feeling honoured (by something); feeling happy or satisfied about an event or fact; gratified.
16977,proudest,adjective,Feeling honoured (by something); feeling happy or satisfied about an event or fact; gratified.
16978,proudly,adverb,In a proud manner.
16979,prove,verb,To proofread.
16980,proved,verb,To proofread.
16981,proven,verb,To proofread.
16982,provenance,noun,Place or source of origin.
16983,proverb,noun,A phrase expressing a basic truth which may be applied to common situations.
16984,proverbial,noun,"Used to replace a word that might be considered unacceptable in a particular situation, when using a well-known phrase."
16985,proves,verb,To proofread.
16986,provide,verb,To make a living; earn money for necessities.
16987,provided,verb,To make a living; earn money for necessities.
16988,providence,noun,"Preparation for the future; good governance, foresight."
16989,provider,noun,"One who, or that which, provides a service, commodity, or the means for subsistence."
16990,provides,verb,To make a living; earn money for necessities.
16991,providing,verb,To make a living; earn money for necessities.
16992,provinces,noun,A region of the earth or of a continent; a district or country.
16993,proving,verb,To proofread.
16994,provision,noun,"An item of goods or supplies, especially food, obtained for future use."
16995,provisional,noun,A postage stamp issued locally before an official issue is released.
16996,provisions,noun,"An item of goods or supplies, especially food, obtained for future use."
16997,provocation,noun,"The act of provoking, inciting or annoying someone into doing something"
16998,provocations,noun,"The act of provoking, inciting or annoying someone into doing something"
16999,provocative,noun,"(obsolescent) Something that provokes an appetite, especially a sexual appetite; an aphrodisiac."
17000,provoke,verb,To cause someone to become annoyed or angry.
17001,provoked,verb,To cause someone to become annoyed or angry.
17002,provoking,verb,To cause someone to become annoyed or angry.
17003,provolone,noun,A semi-hard cheese made of whole milk from cows. It comes primarily from Southern Italy.
17004,prowess,noun,Skillfulness and manual ability; adroitness or dexterity.
17005,prowl,noun,The act of prowling.
17006,prowler,noun,One who roves about for prey; one who prowls.
17007,proximity,noun,"Closeness; the state of being near as in space, time, or relationship."
17008,proxy,noun,An agent or substitute authorized to act for another person.
17009,prude,noun,"A person who is or tries to be excessively proper, especially one who is easily offended by matters of a sexual nature."
17010,prudence,noun,"The quality or state of being prudent; wisdom in the way of caution and provision; discretion; carefulness; hence, also, economy; frugality."
17011,prudent,adjective,"Sagacious in adapting means to ends; circumspect in action, or in determining any line of conduct; careful, discreet, sensible; — opposed to rash; directed by prudence or wise forethought; evincing prudence"
17012,prudes,noun,"A person who is or tries to be excessively proper, especially one who is easily offended by matters of a sexual nature."
17013,prune,noun,A plum.
17014,prunes,noun,A plum.
17015,pruning,verb,"To become wrinkled like a dried plum, as the fingers and toes do when kept submerged in water."
17016,pry,noun,The act of prying.
17017,prying,verb,To look where one is not welcome; to be nosy.
17018,psalm,noun,A sacred song; a poetical composition for use in the praise or worship of God.
17019,pseudo,noun,An intellectually pretentious person; a pseudointellectual.
17020,psi,noun,The twenty-third letter of Classical and Modern Greek and the twenty-fifth letter of Old and Ancient Greek.
17021,psst,verb,"To say psst, to get someone's attention or to communicate with them."
17022,psych,noun,Psychology or psychiatry.
17023,psyche,noun,"The human soul, mind, or spirit."
17024,psyched,verb,To put (someone) into a required psychological frame of mind (also psych up).
17025,psychiatric,adjective,"Of, or relating to, psychiatry."
17026,psychiatrist,noun,A medical doctor specializing in psychiatry.
17027,psychiatrists,noun,A medical doctor specializing in psychiatry.
17028,psychiatry,noun,"The branch of medicine that subjectively diagnoses, treats, and studies mental disorders and behavioural conditions."
17029,psychic,noun,"A person who possesses, or appears to possess, extra-sensory abilities such as precognition, clairvoyance and telepathy, or who appears to be susceptible to paranormal or supernatural influence."
17030,psycho,noun,A person who is psychotic or otherwise insane.
17031,psychoanalysis,noun,A family of theories and methods within the field of psychotherapy that work to find connections among patients' unconscious mental processes
17032,psychoanalyze,verb,To practice psychoanalysis (on).
17033,psychobabble,noun,"The jargon of psychology and psychoanalysis, especially when regarded as trite or trivial."
17034,psychological,adjective,Of or pertaining to psychology.
17035,psychologically,adverb,In a psychological sense
17036,psychologist,noun,An expert in the field of psychology.
17037,psychologists,noun,An expert in the field of psychology.
17038,psychology,noun,The study of the human mind.
17039,psychopath,noun,"A person with a personality disorder indicated by a pattern of lying, cunning, manipulating, glibness, exploiting, heedlessness, arrogance, delusions of grandeur, sexual promiscuity, low self-control, disregard for morality, lack of acceptance of responsibility, callousness, and lack of empathy and remorse. Such an individual may be especially prone to violent and criminal offenses."
17040,psychopathic,noun,A psychopath.
17041,psychopaths,noun,"A person with a personality disorder indicated by a pattern of lying, cunning, manipulating, glibness, exploiting, heedlessness, arrogance, delusions of grandeur, sexual promiscuity, low self-control, disregard for morality, lack of acceptance of responsibility, callousness, and lack of empathy and remorse. Such an individual may be especially prone to violent and criminal offenses."
17042,psychos,noun,A person who is psychotic or otherwise insane.
17043,psychosis,noun,"A severe mental disorder, sometimes with physical damage to the brain, marked by a deranged personality and a distorted view of reality."
17044,psychosomatic,adjective,Pertaining to both the mind and the body.
17045,psychotherapist,noun,Someone who practices psychotherapy.
17046,psychotherapy,noun,The treatment of people diagnosed with mental and emotional disorders using dialogue and a variety of psychological techniques.
17047,psychotic,noun,A person affected by psychosis.
17048,psychotics,noun,A person affected by psychosis.
17049,pub,noun,"A public house where beverages, primarily alcoholic, may be bought and consumed, also providing food and sometimes entertainment such as live music or television."
17050,puberty,noun,"A developmental phase brought about by the action of hormones as part of the maturing process. For humans, there are three in total."
17051,pubes,noun,The pubic hair.
17052,pubescent,noun,An individual who is going through puberty.
17053,pubic,adjective,"Of, or relating to the area of the body adjacent to the pubis or the pubes."
17054,public,noun,"The people in general, regardless of membership of any particular group."
17055,publically,adverb,"In public, openly, in an open and public manner."
17056,publication,noun,The act of publishing printed or other matter.
17057,publications,noun,The act of publishing printed or other matter.
17058,publicist,noun,A person whose job is to publicize information or events; a publicity agent; a public relations agent or worker
17059,publicity,noun,Advertising or other activity designed to rouse public interest in something.
17060,publicly,adverb,"In public, openly, in an open and public manner."
17061,publish,verb,"To issue (something, such as printed work) for distribution and/or sale."
17062,published,verb,"To issue (something, such as printed work) for distribution and/or sale."
17063,publisher,noun,"One who publishes, especially books."
17064,publishers,noun,"One who publishes, especially books."
17065,publishing,verb,"To issue (something, such as printed work) for distribution and/or sale."
17066,puce,noun,"A brownish-purple color, sometimes more or less deep red or grayish."
17067,puck,noun,A mischievous or hostile spirit.
17068,pucker,noun,A fold or wrinkle.
17069,pudding,noun,"Any of various dishes, sweet or savoury, prepared by boiling or steaming, or from batter."
17070,puddle,noun,"A small pool of water, usually on a path or road."
17071,puddles,noun,"A small pool of water, usually on a path or road."
17072,puff,noun,"The product of flatulence, or the sound of breaking wind."
17073,puffed,verb,"To emit smoke, gas, etc., in puffs."
17074,puffing,verb,"To emit smoke, gas, etc., in puffs."
17075,puffs,verb,"To emit smoke, gas, etc., in puffs."
17076,puffy,adjective,"Swollen or inflated in shape, as if filled with air; pillow-like."
17077,pug,noun,"A small dog of an ancient breed originating in China, having a snub nose, wrinkled face, squarish body, short smooth hair, and curled tail."
17078,puke,noun,Vomit.
17079,puking,verb,To vomit; to throw up; to eject from the stomach.
17080,pull,noun,An act of pulling (applying force)
17081,pulled,verb,To apply a force to (an object) so that it comes toward the person or thing applying the force.
17082,pulling,verb,To apply a force to (an object) so that it comes toward the person or thing applying the force.
17083,pulls,noun,An act of pulling (applying force)
17084,pulmonary,adjective,"Pertaining to, having, or affecting the lungs."
17085,pulp,noun,"A soft, moist, shapeless mass or matter."
17086,pulpit,noun,"A raised platform in a church, usually enclosed, where the minister or preacher stands when giving the sermon."
17087,pulsating,verb,To expand and contract rhythmically; to throb or to beat.
17088,pulse,noun,"A normally regular beat felt when arteries are depressed, caused by the pumping action of the heart."
17089,pulses,noun,"A normally regular beat felt when arteries are depressed, caused by the pumping action of the heart."
17090,pummel,noun,The upper front brow of a saddle.
17091,pump,noun,A device for moving or compressing a liquid or gas.
17092,pumped,verb,To use a pump to move (liquid or gas).
17093,pumping,verb,To use a pump to move (liquid or gas).
17094,pumpkin,noun,"A domesticated plant, in species Cucurbita pepo, similar in growth pattern, foliage, flower, and fruit to the squash or melon."
17095,pumps,noun,A device for moving or compressing a liquid or gas.
17096,pun,noun,"A joke or type of wordplay in which similar definitions or sounds of two words or phrases, or different definitions of the same word, are deliberately confused."
17097,punch,noun,A hit or strike with one's fist.
17098,punched,verb,To strike with one's fist.
17099,punches,noun,A hit or strike with one's fist.
17100,punching,verb,To strike with one's fist.
17101,punchy,adjective,Having a punch; effective; forceful; spirited; vigorous.
17102,punctual,adjective,Prompt; on time.
17103,punctuality,noun,The state of being punctual
17104,punctuation,noun,"A set of symbols and marks which are used to clarify meaning in text by separating strings of words into clauses, phrases and sentences."
17105,puncture,noun,The act or an instance of puncturing.
17106,punctured,verb,To pierce; to break through; to tear a hole.
17107,pungent,adjective,"Having a strong odor that stings the nose, said especially of acidic or spicy substances."
17108,punish,verb,"To cause to suffer for crime or misconduct, to administer disciplinary action."
17109,punished,verb,"To cause to suffer for crime or misconduct, to administer disciplinary action."
17110,punishes,verb,"To cause to suffer for crime or misconduct, to administer disciplinary action."
17111,punishing,verb,"To cause to suffer for crime or misconduct, to administer disciplinary action."
17112,punishment,noun,"The act or process of punishing, imposing and/or applying a sanction."
17113,punishments,noun,"The act or process of punishing, imposing and/or applying a sanction."
17114,punitive,adjective,"Inflicting punishment, punishing"
17115,punk,noun,"A person used for sex, particularly:"
17116,punks,noun,"A person used for sex, particularly:"
17117,punky,noun,"A small two-winged fly or midge of the family Ceratopogonidae, which bites and then sucks the blood of mammals; the biting midge; sandfly."
17118,puns,noun,A Korean unit of length equivalent to about 0.3 cm.
17119,punt,noun,A pontoon; a narrow shallow boat propelled by a pole.
17120,punters,noun,One who bets (punts) against the bank.
17121,puny,noun,(Oxford University slang) A new pupil at a school etc.; a junior student.
17122,pup,noun,"A young dog, wolf, fox, seal, or shark, or the young of certain other animals."
17123,pupil,noun,A learner under the supervision of a teacher or professor.
17124,pupils,noun,A learner under the supervision of a teacher or professor.
17125,puppet,noun,"Any small model of a person or animal able to be moved by strings or rods, or in the form of a glove."
17126,puppeteer,noun,A person who uses a puppet.
17127,puppets,noun,"Any small model of a person or animal able to be moved by strings or rods, or in the form of a glove."
17128,puppies,noun,"A young dog, especially before sexual maturity (12-18 months)"
17129,puppy,noun,"A young dog, especially before sexual maturity (12-18 months)"
17130,purblind,adjective,Partially blind.
17131,purchase,noun,"The acquisition of title to, or property in, anything for a price; buying for money or its equivalent."
17132,purchased,verb,"To buy, obtain by payment of a price in money or its equivalent."
17133,purchases,noun,"The acquisition of title to, or property in, anything for a price; buying for money or its equivalent."
17134,purchasing,verb,"To buy, obtain by payment of a price in money or its equivalent."
17135,pure,noun,"One who, or that which, is pure."
17136,puree,noun,A food that has been ground or crushed into a thick liquid.
17137,purely,adverb,"Wholly; really, completely."
17138,purer,adjective,Free of flaws or imperfections; unsullied.
17139,purest,adjective,Free of flaws or imperfections; unsullied.
17140,purgatory,noun,Alternative letter-case form of Purgatory
17141,purge,noun,An act of purging.
17142,purged,verb,To clean thoroughly; to cleanse; to rid of impurities.
17143,purging,noun,"The process or act of purging, such as by the use of a purgative."
17144,purification,noun,The act or process of purifying; the removal of impurities.
17145,puritan,noun,(often disapproving) a puritanical person
17146,puritanical,noun,One who holds puritanical attitudes.
17147,puritans,noun,(often disapproving) a puritanical person
17148,purity,noun,The state or degree of being pure.
17149,purple,noun,A colour/color that is a dark blend of red and blue; dark magenta.
17150,purpose,noun,An objective to be reached; a target; an aim; a goal.
17151,purposefully,adverb,In a purposeful manner.
17152,purposely,adverb,On purpose; intentionally
17153,purposes,noun,An objective to be reached; a target; an aim; a goal.
17154,purr,noun,The vibrating sound made by a cat in its throat when contented.
17155,purse,noun,A small bag for carrying money.
17156,pursuant,adjective,"In conformance to, or in agreement with."
17157,pursue,verb,"To follow urgently, originally with intent to capture or harm; to chase."
